rep,algo,x,y,section,dur
0,cpu,,,total,2.379247e-01
0,stock,8,4,total,2.312320e-03
0,stock,8,4,kernel,2.600960e-04
0,v1,8,4,total,7.452608e-03
0,v1,8,4,kernel,4.382720e-04
0,stock,8,8,total,2.086720e-03
0,stock,8,8,kernel,2.529280e-04
0,v1,8,8,total,1.965536e-03
0,v1,8,8,kernel,4.392960e-04
0,stock,8,16,total,2.008704e-03
0,stock,8,16,kernel,2.529280e-04
0,v1,8,16,total,4.390816e-03
0,v1,8,16,kernel,4.382720e-04
0,stock,16,16,total,5.353632e-03
0,stock,16,16,kernel,2.508800e-04
0,v1,16,16,total,1.966784e-03
0,v1,16,16,kernel,4.321280e-04
0,stock,24,24,total,4.950016e-03
0,stock,24,24,kernel,2.621440e-04
0,v1,24,24,total,3.120416e-03
0,v1,24,24,kernel,4.392960e-04
0,stock,16,32,total,4.473856e-03
0,stock,16,32,kernel,2.509120e-04
0,v1,16,32,total,4.773056e-03
0,v1,16,32,kernel,4.300800e-04
0,stock,32,32,total,4.326528e-03
0,stock,32,32,kernel,2.641920e-04
0,v1,32,32,total,4.469312e-03
0,v1,32,32,kernel,4.270400e-04
1,cpu,,,total,2.296347e-01
1,stock,8,4,total,2.058816e-03
1,stock,8,4,kernel,2.580480e-04
1,v1,8,4,total,3.316192e-03
1,v1,8,4,kernel,4.382720e-04
1,stock,8,8,total,5.005152e-03
1,stock,8,8,kernel,2.539520e-04
1,v1,8,8,total,1.968800e-03
1,v1,8,8,kernel,4.392960e-04
1,stock,8,16,total,2.005984e-03
1,stock,8,16,kernel,2.529280e-04
1,v1,8,16,total,3.746880e-03
1,v1,8,16,kernel,4.382720e-04
1,stock,16,16,total,2.015808e-03
1,stock,16,16,kernel,2.519040e-04
1,v1,16,16,total,1.972544e-03
1,v1,16,16,kernel,4.321280e-04
1,stock,24,24,total,2.030304e-03
1,stock,24,24,kernel,2.641920e-04
1,v1,24,24,total,2.017952e-03
1,v1,24,24,kernel,4.382720e-04
1,stock,16,32,total,4.401856e-03
1,stock,16,32,kernel,2.519040e-04
1,v1,16,32,total,1.966464e-03
1,v1,16,32,kernel,4.300800e-04
1,stock,32,32,total,2.023712e-03
