rep,algo,size,R,block,section,dur
0,cpu,1000,3,,,1.206800e-05
0,gpu-v1,1000,3,32,total,3.856320e-04
0,gpu-v1,1000,3,32,kernel,7.168000e-06
0,gpu-v2,1000,3,32,total,3.086080e-04
0,gpu-v2,1000,3,32,kernel,8.192000e-06
0,gpu-v3,1000,3,32,total,2.975040e-04
0,gpu-v3,1000,3,32,kernel,7.168000e-06
0,gpu-v1,1000,3,64,total,2.951360e-04
0,gpu-v1,1000,3,64,kernel,5.120000e-06
0,gpu-v2,1000,3,64,total,3.047360e-04
0,gpu-v2,1000,3,64,kernel,7.168000e-06
0,gpu-v3,1000,3,64,total,3.125760e-04
0,gpu-v3,1000,3,64,kernel,6.144000e-06
0,gpu-v1,1000,3,128,total,2.937280e-04
0,gpu-v1,1000,3,128,kernel,6.144000e-06
0,gpu-v2,1000,3,128,total,3.015040e-04
0,gpu-v2,1000,3,128,kernel,1.024000e-05
0,gpu-v3,1000,3,128,total,2.910080e-04
0,gpu-v3,1000,3,128,kernel,6.144000e-06
0,gpu-v1,1000,3,192,total,2.898880e-04
0,gpu-v1,1000,3,192,kernel,6.144000e-06
0,gpu-v2,1000,3,192,total,2.993600e-04
0,gpu-v2,1000,3,192,kernel,1.433600e-05
0,gpu-v3,1000,3,192,total,2.894400e-04
0,gpu-v3,1000,3,192,kernel,6.144000e-06
0,gpu-v1,1000,3,256,total,2.887680e-04
0,gpu-v1,1000,3,256,kernel,6.144000e-06
0,gpu-v2,1000,3,256,total,3.067520e-04
0,gpu-v2,1000,3,256,kernel,1.740800e-05
0,gpu-v3,1000,3,256,total,2.927680e-04
0,gpu-v3,1000,3,256,kernel,7.168000e-06
0,gpu-v1,1000,3,512,total,3.013440e-04
0,gpu-v1,1000,3,512,kernel,5.120000e-06
0,gpu-v2,1000,3,512,total,3.348160e-04
0,gpu-v2,1000,3,512,kernel,4.403200e-05
0,gpu-v3,1000,3,512,total,3.234240e-04
0,gpu-v3,1000,3,512,kernel,7.168000e-06
0,gpu-v1,1000,3,1024,total,3.019200e-04
0,gpu-v1,1000,3,1024,kernel,6.144000e-06
0,gpu-v2,1000,3,1024,total,4.447360e-04
0,gpu-v2,1000,3,1024,kernel,1.495040e-04
0,gpu-v3,1000,3,1024,total,2.894080e-04
0,gpu-v3,1000,3,1024,kernel,8.192000e-06
0,cpu,1000,30,,,6.015900e-05
0,gpu-v1,1000,30,32,total,2.962240e-04
0,gpu-v1,1000,30,32,kernel,7.168000e-06
