rep,size,num_streams,block_size,section,dur
0,1024,1,32,total,1.134400e-04
0,1024,1,32,stream-0,3.686400e-05
0,1024,1,64,total,8.278400e-05
0,1024,1,64,stream-0,2.457600e-05
0,1024,1,128,total,7.881600e-05
0,1024,1,128,stream-0,2.393600e-05
0,1024,1,256,total,7.577601e-05
0,1024,1,256,stream-0,2.281600e-05
0,1024,1,512,total,7.558400e-05
0,1024,1,512,stream-0,2.252800e-05
0,1024,1,1024,total,7.420800e-05
0,1024,1,1024,stream-0,2.182400e-05
0,1024,2,32,total,1.077120e-04
0,1024,2,32,stream-1,2.252800e-05
0,1024,2,32,stream-0,1.520000e-05
0,1024,2,64,total,1.019520e-04
0,1024,2,64,stream-1,2.204800e-05
0,1024,2,64,stream-0,1.686400e-05
0,1024,2,128,total,9.830400e-05
0,1024,2,128,stream-1,2.220800e-05
0,1024,2,128,stream-0,1.638400e-05
0,1024,2,256,total,9.715201e-05
0,1024,2,256,stream-1,2.211200e-05
0,1024,2,256,stream-0,1.520000e-05
0,1024,2,512,total,1.100480e-04
0,1024,2,512,stream-1,2.345600e-05
0,1024,2,512,stream-0,1.843200e-05
0,1024,2,1024,total,1.495040e-04
0,1024,2,1024,stream-1,4.041600e-05
0,1024,2,1024,stream-0,1.776000e-05
0,1024,4,32,total,1.434880e-04
0,1024,4,32,stream-3,2.252800e-05
0,1024,4,32,stream-2,1.404800e-05
0,1024,4,32,stream-1,1.468800e-05
0,1024,4,32,stream-0,1.638400e-05
0,1024,4,64,total,1.587840e-04
0,1024,4,64,stream-3,3.846400e-05
0,1024,4,64,stream-2,1.456000e-05
0,1024,4,64,stream-1,1.484800e-05
0,1024,4,64,stream-0,1.625600e-05
0,1024,4,128,total,1.452160e-04
0,1024,4,128,stream-3,2.115200e-05
0,1024,4,128,stream-2,1.520000e-05
0,1024,4,128,stream-1,1.577600e-05
0,1024,4,128,stream-0,1.638400e-05
0,1024,4,256,total,1.428480e-04
0,1024,4,256,stream-3,2.233600e-05
0,1024,4,256,stream-2,1.436800e-05
0,1024,4,256,stream-1,1.494400e-05
0,1024,4,256,stream-0,1.667200e-05
0,1024,4,512,total,1.413120e-04
0,1024,4,512,stream-3,2.048000e-05
0,1024,4,512,stream-2,1.433600e-05
0,1024,4,512,stream-1,1.433600e-05
0,1024,4,512,stream-0,1.638400e-05
0,1024,4,1024,total,1.379840e-04
0,1024,4,1024,stream-3,2.048000e-05
0,1024,4,1024,stream-2,1.411200e-05
0,1024,4,1024,stream-1,1.475200e-05
0,1024,4,1024,stream-0,1.632000e-05
0,1024,8,32,total,2.273280e-04
0,1024,8,32,stream-6,1.420800e-05
0,1024,8,32,stream-7,2.124800e-05
0,1024,8,32,stream-5,1.452800e-05
0,1024,8,32,stream-4,1.433600e-05
0,1024,8,32,stream-3,1.331200e-05
0,1024,8,32,stream-2,1.452800e-05
0,1024,8,32,stream-1,1.494400e-05
0,1024,8,32,stream-0,1.632000e-05
0,1024,8,64,total,2.273280e-04
0,1024,8,64,stream-6,1.395200e-05
0,1024,8,64,stream-7,2.204800e-05
0,1024,8,64,stream-5,1.430400e-05
0,1024,8,64,stream-4,1.414400e-05
0,1024,8,64,stream-3,1.433600e-05
0,1024,8,64,stream-2,1.545600e-05
0,1024,8,64,stream-1,1.433600e-05
0,1024,8,64,stream-0,1.686400e-05
0,1024,8,128,total,2.272960e-04
0,1024,8,128,stream-6,1.433600e-05
0,1024,8,128,stream-7,2.124800e-05
0,1024,8,128,stream-5,1.433600e-05
0,1024,8,128,stream-4,1.433600e-05
0,1024,8,128,stream-3,1.436800e-05
0,1024,8,128,stream-2,1.456000e-05
0,1024,8,128,stream-1,1.449600e-05
0,1024,8,128,stream-0,1.638400e-05
0,1024,8,256,total,2.432000e-04
0,1024,8,256,stream-6,1.491200e-05
0,1024,8,256,stream-7,2.201600e-05
0,1024,8,256,stream-5,2.947200e-05
0,1024,8,256,stream-4,1.440000e-05
0,1024,8,256,stream-3,1.433600e-05
0,1024,8,256,stream-2,1.462400e-05
0,1024,8,256,stream-1,1.424000e-05
0,1024,8,256,stream-0,1.673600e-05
0,1024,8,512,total,2.460480e-04
0,1024,8,512,stream-6,1.433600e-05
0,1024,8,512,stream-7,2.096000e-05
0,1024,8,512,stream-5,1.424000e-05
0,1024,8,512,stream-4,1.571200e-05
0,1024,8,512,stream-3,1.561600e-05
0,1024,8,512,stream-2,1.606400e-05
0,1024,8,512,stream-1,1.452800e-05
0,1024,8,512,stream-0,1.708800e-05
0,1024,8,1024,total,2.232320e-04
0,1024,8,1024,stream-6,1.446400e-05
0,1024,8,1024,stream-7,2.240000e-05
0,1024,8,1024,stream-5,1.456000e-05
0,1024,8,1024,stream-4,1.299200e-05
0,1024,8,1024,stream-3,1.430400e-05
0,1024,8,1024,stream-2,1.379200e-05
0,1024,8,1024,stream-1,1.433600e-05
0,1024,8,1024,stream-0,1.638400e-05
0,1024,16,32,stream-14,1.692800e-05
0,1024,16,32,total,7.823360e-04
0,1024,16,32,stream-13,1.548800e-05
0,1024,16,32,stream-0,1.843200e-05
0,1024,16,32,stream-1,1.504000e-05
0,1024,16,32,stream-2,1.574400e-05
0,1024,16,32,stream-3,1.481600e-05
0,1024,16,32,stream-4,1.465600e-05
0,1024,16,32,stream-9,1.587200e-05
0,1024,16,32,stream-5,1.433600e-05
0,1024,16,32,stream-7,1.638400e-05
0,1024,16,32,stream-6,1.897600e-05
0,1024,16,32,stream-15,2.310400e-05
0,1024,16,32,stream-8,1.628800e-05
0,1024,16,32,stream-10,1.494400e-05
0,1024,16,32,stream-11,1.638400e-05
0,1024,16,32,stream-12,1.465600e-05
0,1024,16,64,stream-14,1.324800e-05
0,1024,16,64,total,4.250880e-04
0,1024,16,64,stream-13,1.404800e-05
0,1024,16,64,stream-0,1.676800e-05
0,1024,16,64,stream-1,1.465600e-05
0,1024,16,64,stream-2,1.440000e-05
0,1024,16,64,stream-3,1.433600e-05
0,1024,16,64,stream-4,1.424000e-05
0,1024,16,64,stream-9,1.433600e-05
0,1024,16,64,stream-5,1.449600e-05
0,1024,16,64,stream-7,1.462400e-05
0,1024,16,64,stream-6,1.433600e-05
0,1024,16,64,stream-15,2.022400e-05
0,1024,16,64,stream-8,1.452800e-05
0,1024,16,64,stream-10,1.321600e-05
0,1024,16,64,stream-11,1.350400e-05
0,1024,16,64,stream-12,1.424000e-05
0,1024,16,128,stream-14,3.072000e-05
0,1024,16,128,total,4.006720e-04
0,1024,16,128,stream-13,1.398400e-05
0,1024,16,128,stream-0,1.638400e-05
0,1024,16,128,stream-1,1.584000e-05
0,1024,16,128,stream-2,1.417600e-05
0,1024,16,128,stream-3,1.417600e-05
0,1024,16,128,stream-4,1.305600e-05
0,1024,16,128,stream-9,1.395200e-05
0,1024,16,128,stream-5,1.404800e-05
0,1024,16,128,stream-7,1.315200e-05
0,1024,16,128,stream-6,1.433600e-05
0,1024,16,128,stream-15,1.843200e-05
0,1024,16,128,stream-8,1.385600e-05
0,1024,16,128,stream-10,1.433600e-05
0,1024,16,128,stream-11,1.433600e-05
0,1024,16,128,stream-12,1.283200e-05
0,1024,16,256,stream-14,1.433600e-05
0,1024,16,256,total,3.766720e-04
0,1024,16,256,stream-13,1.353600e-05
0,1024,16,256,stream-0,1.529600e-05
0,1024,16,256,stream-1,1.545600e-05
0,1024,16,256,stream-2,1.433600e-05
0,1024,16,256,stream-3,1.308800e-05
0,1024,16,256,stream-4,1.408000e-05
0,1024,16,256,stream-9,1.385600e-05
0,1024,16,256,stream-5,1.433600e-05
0,1024,16,256,stream-7,1.398400e-05
0,1024,16,256,stream-6,1.292800e-05
0,1024,16,256,stream-15,1.968000e-05
0,1024,16,256,stream-8,1.360000e-05
0,1024,16,256,stream-10,1.395200e-05
0,1024,16,256,stream-11,1.340800e-05
0,1024,16,256,stream-12,1.238400e-05
0,1024,16,512,stream-14,1.398400e-05
