rep,size,num_streams,block_size,section,dur
0,1024,1,32,total,9.689600e-05
0,1024,1,64,total,7.360000e-05
0,1024,1,128,total,6.944000e-05
0,1024,1,256,total,6.758400e-05
0,1024,1,512,total,6.684800e-05
0,1024,1,1024,total,6.553600e-05
0,1024,2,32,total,9.254400e-05
0,1024,2,64,total,8.364800e-05
0,1024,2,128,total,8.400000e-05
0,1024,2,256,total,8.230400e-05
0,1024,2,512,total,8.182400e-05
0,1024,2,1024,total,8.252800e-05
0,1024,4,32,total,1.172800e-04
0,1024,4,64,total,1.150080e-04
0,1024,4,128,total,1.139840e-04
0,1024,4,256,total,1.126400e-04
0,1024,4,512,total,1.113280e-04
0,1024,4,1024,total,1.138240e-04
0,1024,8,32,total,1.741440e-04
0,1024,8,64,total,1.769920e-04
0,1024,8,128,total,1.735040e-04
0,1024,8,256,total,1.720000e-04
0,1024,8,512,total,1.945600e-04
0,1024,8,1024,total,1.739520e-04
0,1024,16,32,total,5.525440e-04
0,1024,16,64,total,3.271040e-04
0,1024,16,128,total,2.913280e-04
0,1024,16,256,total,2.872000e-04
0,1024,16,512,total,2.886080e-04
0,1024,16,1024,total,2.887360e-04
0,1024,32,32,total,7.962560e-04
0,1024,32,64,total,5.762880e-04
0,1024,32,128,total,5.360320e-04
0,1024,32,256,total,5.304320e-04
0,1024,32,512,total,5.489920e-04
0,1024,32,1024,total,5.436160e-04
0,1024,64,32,total,1.545760e-03
0,1024,64,64,total,1.034048e-03
0,1024,64,128,total,1.009056e-03
0,1024,64,256,total,1.020640e-03
0,1024,64,512,total,1.030912e-03
0,1024,64,1024,total,1.017760e-03
1,1024,1,32,total,6.758400e-05
1,1024,1,64,total,6.614400e-05
1,1024,1,128,total,6.627200e-05
1,1024,1,256,total,6.355200e-05
1,1024,1,512,total,6.380800e-05
1,1024,1,1024,total,6.451200e-05
1,1024,2,32,total,8.028800e-05
1,1024,2,64,total,7.923200e-05
1,1024,2,128,total,8.163200e-05
1,1024,2,256,total,7.987200e-05
1,1024,2,512,total,7.977599e-05
1,1024,2,1024,total,7.907200e-05
1,1024,4,32,total,1.105920e-04
1,1024,4,64,total,1.085440e-04
1,1024,4,128,total,1.099520e-04
1,1024,4,256,total,1.100160e-04
1,1024,4,512,total,1.094400e-04
1,1024,4,1024,total,1.104640e-04
1,1024,8,32,total,1.710080e-04
1,1024,8,64,total,2.088960e-04
1,1024,8,128,total,1.699840e-04
1,1024,8,256,total,1.633600e-04
1,1024,8,512,total,1.617920e-04
1,1024,8,1024,total,1.676160e-04
1,1024,16,32,total,2.804480e-04
1,1024,16,64,total,2.789440e-04
1,1024,16,128,total,2.779200e-04
1,1024,16,256,total,2.788800e-04
1,1024,16,512,total,2.790400e-04
1,1024,16,1024,total,3.051520e-04
1,1024,32,32,total,5.222400e-04
1,1024,32,64,total,5.242880e-04
1,1024,32,128,total,5.174720e-04
1,1024,32,256,total,5.426560e-04
1,1024,32,512,total,5.171520e-04
1,1024,32,1024,total,5.199040e-04
1,1024,64,32,total,1.001120e-03
1,1024,64,64,total,1.006720e-03
1,1024,64,128,total,1.003520e-03
1,1024,64,256,total,1.014112e-03
1,1024,64,512,total,1.048576e-03
1,1024,64,1024,total,1.030400e-03
2,1024,1,32,total,6.963200e-05
2,1024,1,64,total,6.748800e-05
2,1024,1,128,total,6.668800e-05
2,1024,1,256,total,6.707200e-05
2,1024,1,512,total,6.659200e-05
2,1024,1,1024,total,6.531200e-05
2,1024,2,32,total,8.192000e-05
2,1024,2,64,total,8.185600e-05
2,1024,2,128,total,8.192000e-05
2,1024,2,256,total,8.240000e-05
